artist,album_type,track_name,release_date,release_year,popularity,duration_ms,explicit,disc_number,track_number,song_age_years,staying_index
TXT,single,Can′t Stop,2024-11-18,2024,53,190746,False,1,1,1,26.5
TXT,album,Deep Down,2023-10-13,2023,53,163619,False,1,5,2,17.666666666666668
BTS,album,Iine!Pt.2 - Ano Bashode -,2014-12-24,2014,53,235466,False,1,8,11,4.416666666666667
BTS,album,Boy With Luv (Feat. Halsey),2022-06-10,2022,53,229773,False,1,14,3,13.25
aespa,single,I'm Unhappy,2023-05-08,2023,53,205893,False,1,5,2,17.666666666666668
BTS,album,Spring Day,2022-06-10,2022,53,274703,False,1,10,3,13.25
BTS,album,Burning Up (FIRE),2022-06-10,2022,53,203957,False,1,8,3,13.25
BTS,album,I NEED U,2022-06-10,2022,53,210986,False,1,6,3,13.25
BTS,album,Boy In Luv,2022-06-10,2022,53,231384,False,1,4,3,13.25
BTS,album,No More Dream,2022-06-10,2022,53,222066,False,1,2,3,13.25
aespa,single,Flowers,2024-10-21,2024,52,190733,False,1,5,1,26.0
aespa,album,You,2023-11-10,2023,52,203306,False,1,6,2,17.333333333333332
TXT,single,Happy Fools (feat. Coi Leray),2023-01-27,2023,52,155753,False,1,3,2,17.333333333333332
TXT,single,Valley of Lies,2022-07-22,2022,52,184093,False,1,1,3,13.0
aespa,album,BAHAMA,2024-05-27,2024,52,190533,False,1,6,1,26.0
BTS,album,OUTRO : Crack,2018-04-04,2018,52,74746,False,1,12,7,6.5
BTS,album,Tear,2018-08-24,2018,52,284980,False,1,12,7,6.5
BTS,album,Her,2018-08-24,2018,52,228612,False,1,7,7,6.5
BTS,album,Outro: Her,2017-09-18,2017,52,228612,False,1,9,8,5.777777777777778
TXT,single,Love Story,2024-11-15,2024,52,235502,False,1,1,1,26.0
BTS,album,RUN,2022-06-10,2022,52,236748,False,1,7,3,13.0
BTS,album,Filter,2022-06-10,2022,52,180220,False,2,10,3,13.0
aespa,single,ICONIC,2021-10-05,2021,52,191200,False,1,5,4,10.4
BTS,album,For You,2016-09-07,2016,52,284586,False,1,11,9,5.2
BTS,album,Reflection,2016-10-10,2016,51,233917,False,1,7,9,5.1
BTS,album,Intro.,2014-12-24,2014,51,75080,False,1,1,11,4.25
BTS,album,Just One Day,2014-05-14,2014,51,239469,False,1,7,11,4.25
aespa,album,Don't Blink,2023-11-10,2023,51,169000,False,1,3,2,17.0
TXT,single,Love Sight,2021-05-24,2021,51,252253,False,1,1,4,10.2
BTS,album,INTRO : Calling,2020-07-14,2020,51,84613,False,1,1,5,8.5
BTS,album,N.O,2022-06-10,2022,51,209751,False,1,3,3,12.75
BTS,album,00:00 (Zero O'Clock),2022-06-10,2022,51,250295,False,2,13,3,12.75
Blackpink,album,SOLO,2021-06-01,2021,50,165993,False,1,8,4,10.0
TXT,album,Angel Or Devil,2019-10-21,2019,50,232480,False,1,8,6,7.142857142857143
TXT,album,Poppin' Star,2019-10-21,2019,50,193426,False,1,4,6,7.142857142857143
BTS,album,OUTRO : The Journey,2020-07-14,2020,50,76506,False,1,13,5,8.333333333333334
aespa,single,Kill It,2024-10-21,2024,50,199626,False,1,2,1,25.0
aespa,single,Pink Hoodie,2024-10-21,2024,50,146546,False,1,4,1,25.0
aespa,album,Hot Air Balloon,2023-11-10,2023,50,198693,False,1,4,2,16.666666666666668
aespa,album,Set The Tone,2024-05-27,2024,50,202533,False,1,3,1,25.0
TXT,single,Open Always Wins,2024-07-17,2024,50,142344,False,1,1,1,25.0
aespa,single,I'll Make You Cry,2021-10-05,2021,50,214853,False,1,3,4,10.0
aespa,single,We Go,2023-08-23,2023,50,188532,False,1,1,2,16.666666666666668
BTS,album,Wishing On A Star,2016-09-07,2016,50,271760,False,1,9,9,5.0
aespa,album,Prologue,2024-05-27,2024,49,194120,False,1,8,1,24.5
aespa,album,YOLO,2023-11-10,2023,49,189373,False,1,5,2,16.333333333333332
BTS,album,Moon,2022-06-10,2022,49,208201,False,2,4,3,12.25
aespa,single,Just Another Girl,2024-10-21,2024,49,184266,False,1,6,1,24.5
BTS,album,Boy in Luv,2014-05-14,2014,49,230778,False,1,4,11,4.083333333333333
BTS,album,Jump,2014-05-14,2014,49,236488,False,1,11,11,4.083333333333333
TXT,single,Way Home,2020-10-26,2020,49,182945,False,1,5,5,8.166666666666666
TXT,album,Roller Coaster,2019-10-21,2019,49,214346,False,1,3,6,7.0
BTS,album,Outro.,2014-12-24,2014,49,96493,False,1,13,11,4.083333333333333
aespa,single,'Til We Meet Again,2023-05-08,2023,49,218360,False,1,6,2,16.333333333333332
BTS,album,Friends,2022-06-10,2022,48,199338,False,2,11,3,12.0
BTS,album,Good Day,2016-09-07,2016,48,267506,False,1,5,9,4.8
TXT,album,What if I had been that PUMA,2021-05-31,2021,48,212703,False,1,5,4,9.6
aespa,album,Melody,2024-05-27,2024,48,187853,False,1,10,1,24.0
BTS,album,Jamais Vu,2022-06-10,2022,48,227275,False,2,5,3,12.0
BTS,album,BTS Cypher PT.3 : KILLER (Feat. Supreme Boi),2022-06-10,2022,48,268604,False,2,7,3,12.0
aespa,single,Die Trying,2024-04-04,2024,48,175680,False,1,1,1,24.0
TXT,single,Goodbye Now,2023-02-22,2023,48,276520,False,1,1,2,16.0
BTS,album,INTRO : Ringwanderung,2018-04-04,2018,48,86053,False,1,1,7,6.0
BTS,album,Stay,2022-06-10,2022,48,206208,False,2,3,3,12.0
aespa,single,"Flights, Not Feelings",2024-10-21,2024,48,181666,False,1,3,1,24.0
Blackpink,album,Gone,2021-06-01,2021,47,99271,False,1,9,4,9.4
